"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\User\Documents\proyectos\admin finance\middlewares\CORSpolicy.js", "JavaScript", -6, 0, -4, -10
"c:\Users\User\Documents\proyectos\admin finance\middlewares\authToken.js", "JavaScript", -29, 0, -10, -39
"c:\Users\User\Documents\proyectos\admin finance\routes\business.js", "JavaScript", 10, 0, 1, 11
"c:\Users\User\Documents\proyectos\admin finance\routes\main.js", "JavaScript", 9, 0, 7, 16
"c:\Users\User\Documents\proyectos\admin finance\routes\user.js", "JavaScript", 13, 0, 3, 16
"Total", "-", -3, 0, -3, -6
