"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\User\Documents\proyectos\admin finance\routes\business.js", "JavaScript", 10, 0, 1, 11
"c:\Users\User\Documents\proyectos\admin finance\routes\main.js", "JavaScript", 9, 0, 7, 16
"c:\Users\User\Documents\proyectos\admin finance\routes\user.js", "JavaScript", 13, 0, 3, 16
"Total", "-", 32, 0, 11, 43
