"filename", "language", "Markdown", "JSON", "CSS", "JavaScript", "XML", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\components\Ticket\Ticket.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 5, 12
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\components\WelcomeComponent\WelcomeComponent.css", "CSS", 0, 0, 59, 0, 0, 0, 0, 0, 18, 77
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\components\WelcomeComponent\WelcomeComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 8, 53
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\contexts\mainContext.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\contexts\themeContext.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 6, 9
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\index.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 3, 3, 18
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\js files\changeViewOnClick.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 7, 47
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\js files\validateBusinessName.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 6, 15
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\js files\validateCUIT.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 5, 9
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\js files\validateDocument.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\js files\viewsList.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Account\Account.css", "CSS", 0, 0, 43, 0, 0, 0, 0, 0, 5, 48
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Account\Account.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 6, 35
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Account\components\DetailsCard\DetailsCard.css", "CSS", 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Account\components\DetailsCard\DetailsCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 5, 28
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Account\components\SuscriptionState\SuscriptionState.css", "CSS", 0, 0, 41, 0, 0, 0, 0, 0, 5, 46
"c:\Users\User\Documents\proyectos\admin finance\frontend\admin-finance\src\routes\Account\components\SuscriptionState\SuscriptionState.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
